Date,humidity,precipitation,pressure,temperature,wind-speed,co,so2,pm25,pm10,o3,no2,aqi_co,aqi_so2,aqi_pm25,aqi_pm10,aqi_o3_1,aqi_no2,AQI_total
2019-02-14,25.7,,1023.3,5.2,2.2,0.34,0.0015,34.0,9.0,0.0289,0.010199999999999999,4,2,87,8,0,0,87
2019-02-15,39.8,,1020.0,4.2,0.8,0.34,0.0029,55.0,13.0,0.0136,0.028800000000000003,4,4,130,12,0,0,130
2019-02-16,42.8,,1010.0,6.6,2.1,0.45,0.0029,74.0,22.0,0.016,0.024100000000000003,5,4,156,20,0,0,156
2019-02-17,30.3,,1015.5,6.0,2.0,0.34,0.0015,53.0,14.0,0.0352,0.006500000000000001,4,2,126,13,0,0,126
2019-02-18,32.0,,1023.7,9.3,1.5,0.45,0.0029,50.0,12.0,0.0264,0.020399999999999998,5,4,120,11,0,0,120
2019-02-19,58.2,,1022.1,9.4,0.6,0.5599999999999999,0.0029,70.0,21.0,0.008,0.0362,6,4,154,19,0,0,154
2019-02-20,68.5,,1010.6,11.6,1.2,0.5599999999999999,0.0029,89.0,31.0,0.0176,0.026000000000000002,6,4,165,29,0,0,165
2019-02-21,22.5,,1016.0,10.2,3.8,0.34,0.0015,25.0,7.0,0.0312,0.008400000000000001,4,2,70,6,0,0,70
2019-02-22,35.0,,1017.0,11.0,1.2,0.45,0.0029,46.0,11.0,0.0233,0.020399999999999998,5,4,112,10,0,0,112
2019-02-23,19.0,,1012.4,8.6,3.3,0.34,0.0015,61.0,19.0,0.033600000000000005,0.009300000000000001,4,2,141,18,0,0,141
2019-02-24,27.0,,1021.0,10.8,1.2,0.34,0.0029,61.0,19.0,0.033600000000000005,0.0112,4,4,141,18,0,0,141
2019-02-25,44.5,,1014.4,12.2,0.6,0.45,0.0029,74.0,24.0,0.0145,0.030600000000000002,5,4,156,22,0,0,156
2019-02-26,45.0,,1017.3,10.8,1.5,0.34,0.0029,72.0,25.0,0.0312,0.0149,4,4,155,23,0,0,155
2019-02-27,36.0,,1024.1,8.6,1.0,0.34,0.0029,63.0,20.0,0.0272,0.0195,4,4,145,19,0,0,145
2019-02-28,66.5,,1013.0,7.2,1.0,0.45,0.0015,78.0,25.0,0.010400000000000001,0.027800000000000002,5,2,158,23,0,0,158
2019-03-01,52.0,,1014.6,9.4,1.0,0.45,0.0029,63.0,19.0,0.016,0.024100000000000003,5,4,145,18,0,0,145
2019-03-02,21.5,,1018.0,10.5,2.1,0.34,0.0029,70.0,21.0,0.0361,0.010199999999999999,4,4,154,19,0,0,154
2019-03-03,40.0,,1015.3,7.2,1.3,0.34,0.0015,78.0,25.0,0.0264,0.013000000000000001,4,2,158,23,0,0,158
2019-03-04,79.5,,1004.8,7.8,2.0,0.22999999999999998,0.0015,21.0,7.0,0.0296,0.0112,3,2,62,6,0,0,62
2019-03-05,45.0,,1017.0,10.4,1.5,0.34,0.0029,61.0,19.0,0.0312,0.0176,4,4,141,18,0,0,141
2019-03-06,31.1,,1016.1,11.6,2.0,0.45,0.0029,85.0,32.0,0.0121,0.0343,5,4,162,30,0,0,162
2019-03-07,56.5,,1002.2,9.6,0.7,0.34,0.0015,42.0,11.0,0.0264,0.0176,4,2,104,10,0,0,104
2019-03-08,25.2,,1017.6,7.4,3.0,0.22999999999999998,0.0015,30.0,8.0,0.032799999999999996,0.008400000000000001,3,2,80,7,0,0,80
2019-03-09,38.6,,1023.1,12.3,2.6,0.34,0.0029,42.0,11.0,0.0264,0.0176,4,4,104,10,0,0,104
2019-03-10,16.0,,1017.0,14.9,1.5,0.34,0.0029,50.0,14.0,0.0256,0.0167,4,4,120,13,0,0,120
2019-03-11,43.4,,993.4,12.7,2.0,0.22999999999999998,0.0015,17.0,5.0,0.0304,0.010199999999999999,3,2,54,5,0,0,54
2019-03-12,16.0,,1001.0,13.8,2.0,0.45,0.0043,42.0,11.0,0.032,0.0195,5,6,104,10,0,0,104
2019-03-13,16.0,,1003.7,12.4,2.0,0.34,0.0015,53.0,14.0,0.032,0.0149,4,2,126,13,0,0,126
